spec;long;lat
abietina;-43.690667;-18.328167
abietina;-43.690667; -18.328167
abietina;-43.674611;-18.259083
abietina;-43.620722;-18.210528
abietina;-43.647583;-18.250583
abietina;-43.611028;-18.151361
abietina;-43.686972;-18.233000
abietina;-43.717389;-18.282444
abietina;-43.713056;-18.273139
abietina;-43.483333;-18.45
abietina;-43.647428;-18.251339
abietina;-43.712761;-18.273753
abietina;-43.715369;-18.282144
abietina;-43.6666666667;-18.25
abietina;-43.599203;-18.157289
abietina;-43.621181;-18.202072
abietina;-43.83445;-18.56465
abietina;-43.7406;-18.4544
abietina;-43.720667;-18.459472
abietina;-43.951083;-18.599389
abietina;-43.876642;-18.579539
abietina;-43.592500;-18.571944
abietina;-43.5925;-18.5719
abietina;-43.592500 ;-18.571944
abietina;-43.488722;-18.575722
abietina;-43.5925;-18.5719444444
abietina;-43.488658;-18.575675
abietina;-43.301556;-18.398583
abietina;-43.401250;-18.414806
abietina;-43.43833;-18.53861
abietina;-43.486947;-18.470556
abietina;-43.520889;-18.568111
abietina;-43.493028;-18.571778
